index,success,abs_start_detected,abs_start_fitted,samples_subtracted,alignment_correlation,fitted_cfo_hz,gain_real,gain_imag,power_before,power_after,suppression_db,fcs_pass,message
535,0,317192428,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 169054
  required end (work)   : 437277 (buffer length 408501, short by 28776)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 322913 (recommended 372913)."
536,0,318140501,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
537,0,319650732,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.093 is below threshold 0.100."
538,0,319945260,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.013 is below threshold 0.100."
539,0,320284716,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.027 is below threshold 0.100."
540,0,320624171,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 134113:144864."
541,0,320963627,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 187343
  required end (work)   : 455566 (buffer length 408501, short by 47065)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 336418 (recommended 386418)."
542,0,322170316,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.039 is below threshold 0.100."
543,1,322653636,322653637,246469,0.857050763,-15741.0684,19.7318142,47.416201,691577.101,691416.235,0.00101031882,0,""
544,0,323037548,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
545,0,323824940,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
546,0,325704011,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
547,0,325892748,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 175149
  required end (work)   : 443373 (buffer length 408501, short by 34872)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 327414 (recommended 377414)."
548,0,326280972,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 161942
  required end (work)   : 430165 (buffer length 408501, short by 21664)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 317661 (recommended 367661)."
549,0,327226044,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
550,0,327585757,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 144864:210911."
551,0,327827116,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 144865:154080."
552,0,328603564,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.038 is below threshold 0.100."
553,1,329086884,329086885,306208,0.856606057,-2240.82215,382.413788,1224.51311,623668.39,521063.861,0.780627798,0,""
554,0,329470796,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.014 is below threshold 0.100."
555,1,331007747,331007748,316795,0.857221287,-24109.3807,88.2776119,-59.9935319,646716.139,645997.805,0.00482656616,0,""
556,0,331647083,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.018 is below threshold 0.100."
557,0,332127403,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
558,0,333193228,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.014 is below threshold 0.100."
559,1,333579012,333579012,227565,0.857289027,-11100.7624,28.4101521,-54.5322502,1024913.01,1024671.88,0.00102187059,1,""
560,1,334306692,334306692,227565,0.860041107,-2090.64504,1482.84608,2589.99609,1183920.33,627290.827,2.7585354,1,""
561,1,335901604,335901605,260837,0.856698209,3950.72863,101.293255,439.470664,647081.65,634393.141,0.0860060528,0,""
562,0,337052460,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
563,1,337804461,337804461,235883,0.956884248,-20378.8058,80.0177545,176.846291,657988.864,655624.795,0.0156317362,0,""
564,0,338461804,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.014 is below threshold 0.100."
565,0,338752492,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 186325
  required end (work)   : 454548 (buffer length 408501, short by 46047)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 335667 (recommended 385667)."
566,0,338942123,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
567,0,339140716,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 173117
  required end (work)   : 441341 (buffer length 408501, short by 32840)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 325914 (recommended 375914)."
568,0,339528940,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 159910
  required end (work)   : 428133 (buffer length 408501, short by 19632)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 316160 (recommended 366160)."
569,0,339917164,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 146702
  required end (work)   : 414925 (buffer length 408501, short by 6424)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 306407 (recommended 356407)."
570,0,340305388,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 134113:144864."
571,0,341414540,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 169054
  required end (work)   : 437277 (buffer length 408501, short by 28776)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 322913 (recommended 372913)."
572,0,341802764,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 155846
  required end (work)   : 424069 (buffer length 408501, short by 15568)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 313159 (recommended 363159)."
573,0,343481518,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
574,0,343872844,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
575,0,344604364,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
